DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
21-Nov-2025,EQ,"2,180.00","2,195.00","2,167.40","2,179.70","2,179.00","2,180.60","2,182.27","3,115.00","2,151.00",289673,"63,21,45,504.20",22200
20-Nov-2025,EQ,"2,187.90","2,210.00","2,175.30","2,183.40","2,180.00","2,179.70","2,193.21","3,115.00","2,151.00",387157,"84,91,15,303.20",24093
19-Nov-2025,EQ,"2,186.80","2,188.40","2,167.70","2,180.70","2,182.00","2,183.40","2,178.97","3,115.00","2,151.00",260816,"56,83,09,539.40",19092
18-Nov-2025,EQ,"2,184.10","2,189.50","2,167.20","2,186.60","2,172.00","2,180.70","2,179.09","3,115.00","2,151.00",253424,"55,22,34,174.60",16021
17-Nov-2025,EQ,"2,172.90","2,194.60","2,172.90","2,172.70","2,185.70","2,186.60","2,186.81","3,115.00","2,151.00",135290,"29,58,54,104.00",12286
14-Nov-2025,EQ,"2,174.00","2,178.60","2,165.00","2,174.00","2,175.40","2,172.70","2,170.79","3,115.00","2,151.00",96584,"20,96,63,886.10",10846
13-Nov-2025,EQ,"2,179.00","2,186.00","2,166.20","2,177.40","2,176.10","2,174.00","2,175.93","3,115.00","2,151.00",202651,"44,09,53,812.50",18111
12-Nov-2025,EQ,"2,189.00","2,196.00","2,175.10","2,182.10","2,180.00","2,177.40","2,184.09","3,115.00","2,151.00",179841,"39,27,88,810.70",19217
11-Nov-2025,EQ,"2,170.00","2,187.90","2,151.20","2,171.20","2,184.00","2,182.10","2,167.14","3,115.00","2,151.00",166130,"36,00,26,622.20",15833
10-Nov-2025,EQ,"2,167.80","2,181.80","2,161.40","2,167.20","2,171.20","2,171.20","2,173.04","3,115.00","2,151.00",184755,"40,14,79,653.50",12551
07-Nov-2025,EQ,"2,177.90","2,177.90","2,155.10","2,173.60","2,166.00","2,167.20","2,164.21","3,115.00","2,151.00",226568,"49,03,40,015.40",16674
06-Nov-2025,EQ,"2,175.90","2,190.80","2,166.60","2,190.80","2,171.00","2,173.60","2,177.16","3,115.00","2,151.00",411132,"89,51,01,216.10",28322
04-Nov-2025,EQ,"2,206.60","2,208.00","2,180.00","2,200.40","2,191.00","2,190.80","2,189.08","3,115.00","2,151.00",476899,"1,04,39,71,210.10",21813
03-Nov-2025,EQ,"2,227.90","2,227.90","2,191.00","2,243.00","2,200.30","2,200.40","2,201.76","3,115.00","2,151.00",526150,"1,15,84,56,003.90",36267
31-Oct-2025,EQ,"2,255.30","2,263.60","2,231.20","2,255.30","2,250.00","2,243.00","2,245.46","3,150.80","2,151.00",812536,"1,82,45,20,244.60",31041
30-Oct-2025,EQ,"2,279.70","2,279.70","2,242.40","2,267.70","2,254.00","2,255.30","2,253.98","3,150.80","2,151.00",358683,"80,84,63,687.90",15884
29-Oct-2025,EQ,"2,235.90","2,277.00","2,226.10","2,232.70","2,272.00","2,267.70","2,256.56","3,150.80","2,151.00",436074,"98,40,25,752.50",19852
28-Oct-2025,EQ,"2,217.00","2,236.80","2,204.40","2,216.50","2,234.20","2,232.70","2,217.57","3,150.80","2,151.00",638072,"1,41,49,66,948.50",26329
27-Oct-2025,EQ,"2,241.00","2,243.90","2,209.00","2,239.40","2,219.00","2,216.50","2,222.78","3,150.80","2,151.00",1093964,"2,43,16,39,369.90",46933
24-Oct-2025,EQ,"2,245.00","2,246.80","2,200.00","2,286.90","2,240.10","2,239.40","2,223.30","3,414.70","2,151.00",1809292,"4,02,26,02,079.90",57777
23-Oct-2025,EQ,"2,257.00","2,310.00","2,245.00","2,260.60","2,300.00","2,286.90","2,285.25","3,414.70","2,151.00",652999,"1,49,22,63,415.90",42761
21-Oct-2025,EQ,"2,258.00","2,267.90","2,246.80","2,244.20","2,259.00","2,260.60","2,257.06","3,414.70","2,151.00",75777,"17,10,33,555.70",5793
20-Oct-2025,EQ,"2,293.30","2,300.60","2,240.00","2,295.30","2,249.20","2,244.20","2,269.75","3,414.70","2,151.00",437117,"99,21,45,941.60",26755
17-Oct-2025,EQ,"2,285.60","2,329.90","2,279.00","2,285.80","2,287.20","2,295.30","2,307.54","3,700.00","2,151.00",571653,"1,31,91,10,424.20",40333
16-Oct-2025,EQ,"2,228.10","2,294.00","2,221.30","2,227.10","2,288.90","2,285.80","2,266.50","3,700.00","2,151.00",444481,"1,00,74,17,407.70",30799
